city,iata
Centralia,YCE
Castlegar,YCG
Miramichi,YCH
Chatham-Kent,XCM
Charlo,YCL
Cochrane,YCN
Kugluktuk,YCO
Blue River,
Chetwynd,YCQ
Cross Lake,YCR
Chesterfield Inlet,YCS
Coronation,
Chilliwack,
Clyde River,YCY
Fairmont Hot Springs,YCZ
Dawson City,YDA
Burwash,YDB
Town of Princeton,
Deer Lake,YDF
Dease Lake,
Ross River,XRR
Dauphin,YDN
Dolbeau-St-Felicien,YDO
Nain,YDP
Dawson Creek,YDQ
Empress,
Midland,
Edmonton,YEG
Arviat,YEK
Elliot Lake,YEL
Manitowaning,YEM
Estevan,YEN
Fort Severn,YER
Edmundston,
Edson,YET
Eureka,YEU
Inuvik,YEV
Amos,YEY
Fort Albany,YFA
Iqaluit,YFB
Fredericton,YFC
Brantford,
Forestville,YFE
Fort Hope,YFH
Riviere Rouge,YTM
Flin Flon,YFO
Fort Resolution,YFR
Fort Simpson,YFS
Makkovik,YMN
Texada,YGB
Goderich,
Golden,
Fort Good Hope,YGH
Kingston,YGK
La Grande Riviere,YGL
Gimli,YGM
Gods Lake Narrows,YGO
Gaspe,YGP
Geraldton,YGQ
Iles-de-la-Madeleine,YGR
Igloolik,YGT
Havre St-Pierre,YGV
Kuujjuarapik,YGW
Gillam,YGX
Grise Fiord,YGZ
Quaqtaq,YQC
Hudson Bay,
Dryden,YHD
Hope,YHE
Hearst,YHF
Nemiscau,YNS
Ulukhaktok,YHI
Gjoa Haven,YHK
Hamilton,YHM
Hornepayne,YHN
Hopedale,YHO
Chevery,YHR
Hanover,
Haines Junction,YHT
Montreal,YHU
Hay River,YHY
Halifax,YHZ
Atikokan,YIB
Digby,YDG
St-Augustin,YIF
Ivujivik,YIK
Pond Inlet,YIO
Island Lake,YIV
Jasper,
Fort Liard,YJF
Fort St. James,
St Jean,YJN
Fort Providence,
Bella Bella,
Stephenville,YJT
Kamloops,YKA
Collins Bay,
Aklavik,LAK
Kitchener,YKF
Kangiqsujuaq,
Key Lake,YKJ
Schefferville,YKL
Akulivik,AKV
Waskaganish,YKQ
Kirkland Lake,YKX
Kindersley,YKY
Toronto,YKZ
Aupaluk,YPJ
Lac La Biche,
Kimmirut,YLC
Chapleau,YLD
Lansdowne House,YLH
Lillooet,
Meadow Lake,YLJ
Lutselk'e,YSG
Lloydminster,YLL
La Tuque,
Leaf Rapids,YLR
Barrie-Orillia,YLK
Alert,YLT
Kangiqsualujjuaq,XGR
Kelowna,YLW
Mayo,YMA
Matane,YME
Manitouwadge,YMG
Mary's Harbour,YMH
Moose Jaw,YMJ
Charlevoix,YML
Fort McMurray,YMM
Moosonee,YMO
Chibougamau,YMT
Umiujaq,YUD
Maniwaki,
Montreal,YMX
Ear Falls,
Natashquan,YNA
Wemindji,YNC
Gatineau,YND
Norway House,YNE
Hudson's Hope,
Langley,
Points North Landing,YNL
Matagami,YNM
Nejanilini Lake,YNN
Fort Mackay,HZP
Ekati,YOA
Old Crow,YOC
Cold Lake,YOD
Oxford House,YOH
High Level,YOJ
Oshawa,YOO
Rainbow Lake,YOP
Owen Sound,YOS
Ottawa,YOW
Prince Albert,YPA
Paulatuk,YPC
Port Hawkesbury,YPS
Peace River,YPE
Portage,YPG
Inukjuak,YPH
Pitt Meadows,
Pickle Lake,YPL
Pikangikum,YPM
Port-Menier,YPN
Peawanuck,YPO
Parent,
Peterborough,YPQ
Prince Rupert,YPR
Pemberton,
Pelee Island,
Puntzi Mountain,
Powell River,YPW
Puvirnituq,YPX
Fort Chipewyan,YPY
Burns Lake,
Muskoka,YQA
Quebec,YQB
The Pas,YQD
Red Deer,YQF
Windsor,YQG
Watson Lake,YQH
Yarmouth,YQI
Kenora,YQK
Lethbridge,YQL
Moncton,YQM
Nakina,YQN
Comox,YQQ
Regina,YQR
St Thomas,YQS
Thunder Bay,YQT
Grande Prairie,YQU
Yorkton,YQV
North Battleford,YQW
Gander,YQX
Sydney,YQY
Quesnel,YQZ
Gameti,YRA
Resolute Bay,YRB
Chicoutimi,
Riviere-du-Loup,YRI
Roberval,YRJ
Red Lake,YRL
Rocky Mountain House,
Ottawa,YRO
Carp,
Trois-Rivieres,YRQ
Red Sucker Lake,YRS
Rankin Inlet,YRT
Revelstoke,YRV
Stratford,
Sudbury,YSB
Sherbrooke,YSC
Squamish,
Stony Rapids,YSF
St Georges,
Smiths Falls,YSH
Saint John,YSJ
Sanikiluaq,YSK
St Leonard,YSL
Fort Smith,YSM
St Catharines,YCM
Marathon,YSP
Atlin,
St. Theresa Point,YST
Summerside,YSU
Sparwood,
Sachs Harbour,YSY
Ste-Anne-Des-Monts,
Pembroke,YTA
Tillsonburg,
Cape Dorset,YTE
Alma,YTF
Thompson,YTH
Big Trout Lake,YTL
Trenton,
Tasiujaq,YTQ
Trenton,YTR
Timmins,YTS
Toronto,YTZ
Tuktoyaktuk,YUB
Montreal,YUL
Repulse Bay,YUT
Hall Beach,YUX
Rouyn-Noranda,YUY
Bonaventure,YVB
La Ronge,YVC
Virden,
Vermilion,
Vernon,YVE
Qikiqtarjuaq,YVM
Val-d'Or,YVO
Kuujjuaq,YVP
Norman Wells,YVQ
Vancouver,YVR
Buffalo Narrows,YVT
Wiarton,YVV
Deer Lake,YVZ
Petawawa,YWA
Wekweeti,
Winnipeg,YWG
Deline,YWJ
Wabush,YWK
Williams Lake,YWL
Athabasca,
Webequie,YWP
Wainwright,
Wrigley,YWY
Cranbrook,YXC
Edmonton,YXD
Saskatoon,YXE
Medicine Hat,YXH
Fort St.John,YXJ
Rimouski,YXK
Sioux Lookout,YXL
Whale Cove,YXN
Pangnirtung,YXP
Beaver Creek,YXQ
Earlton,YXR
Prince George,YXS
Terrace,YXT
London,YXU
Abbotsford,YXX
Whitehorse,YXY
Wawa,YXZ
North Bay,YYB
Calgary,YYC
Smithers,YYD
Fort Nelson,YYE
Penticton,YYF
Charlottetown,YYG
Taloyoak,YYH
Victoria,YYJ
Lynn Lake,YYL
Cowley,
Swift Current,YYN
Wynyard,
Churchill,YYQ
Goose Bay,YYR
St. John's,YYT
Kapuskasing,YYU
Armstrong,YYW
Mont-Joli,YYY
Toronto,YYZ
Toronto,
Gore Bay,YZE
Yellowknife,YZF
Salluit,YZG
Slave Lake,YZH
Sandspit,YZP
Sarnia,YZR
Coral Harbour,YZS
Port Hardy,YZT
Whitecourt,YZU
Sept-Iles,YZV
Teslin,YZW
Greenwood,YZX
Mackenzie,YZY
York Landing,ZAC
Salmon Arm,YSN
Burlington,
Boundary Bay,YDT
Ilford,ILF
Bathurst,ZBF
Bromont,ZBM
Kelsey,KES
Eastmain River,ZEM
Faro,ZFA
Fond-Du-Lac,ZFD
Pukatawagan,XPK
Fort Mcpherson,ZFM
Tulita,ZFN
Grand Forks,ZGF
Gods River,ZGI
Little Grand Rapids,ZGR
High Prairie,
Jenpeg,ZJG
Swan River,ZJN
Kashechewan,ZKE
Thicket Portage,YTD
Muskrat Dam,MSA
108 Mile,ZMH
Pikwitonei,PIW
Masset,ZMT
Poplar River,XPP
Nelson,
Sachigo Lake,ZPB
Pincher Creek,
Pinehouse Lake,ZPO
Round Lake,ZRJ
Sandy Lake,ZSJ
South Indian Lake,XSI
Stewart,ZST
Bloodvein River,
Shamattawa,ZTM
Ignace,ZUC
Churchill Falls,ZUM
Edmonton,
Lac Brochet,XLB
Wollaston Lake,ZWL
,
,
,
,
,
,
,
,QLD
,BUJ
Bejaia,BJA
Algiers,ALG
Djanet,DJG
,QFD
Telerghma,
,
Illizi,VVZ
,
Setif,QSF
Tamanrasset,TMR
Jijel,GJL
Bordj Omar Driss,
Mecheria,MZW
,QZN
Annabah,AAE
Constantine,CZL
Oum El Bouaghi,
Tebessi,TEE
Batna,BLJ
,HRM
,QDJ
,
Tiaret,TID
Bechar,
,
Tindouf,TIN
,QAS
,TAF
Tlemcen,TLM
Oran,ORN
Bechar,CBH
,BFW
,MUW
El Bayadh,EBH
In Guezzam,INF
Bordj Badji Mokhtar,BMW
,AZR
Biskra,BSK
,ELG
Ghardaia,GHA
Hassi Messaoud,HME
In Salah,INZ
Touggourt,TGR
Laghouat,LOO
Guemar,ELU
Timimoun,TMX
Ouargla,OGX
Amenas,IAM
Cotonou,COO
Bohicon,
Djougou,DJA
Kandi,KDC
Natitingou,NAE
Porga,
Parakou,PKO
Bembereke,
Save,SVF
Felton,
Smyrna,
Hartly,
Magnolia,
Milford,
Milford,
Ellendale,
Bridgeville,
Seaford,
Greenwood,
Townsend,
Townsend,
Roxana,
Milton,
Milton,
Selbyville,
Smyrna,
Felton,
Middletown,
Townsend,
Georgetown,
Kaya,XKY
Barsalogho,
Ouahigouya,OUG
Didyr,
Batie,
Kongoussi,
Titao,
Djibo,XDJ
Koudougou,
Leo,XLU
Manga,
Po,PUP
Poura,
Seguenega,
Tenado,
Gourcy,
Yako,
Boulsa,XBO
Bogande,XBG
Komin-Yanga,
Diapaga,DIP
Dori,DOR
Fada N'gourma,FNG
Gorom-Gorom,XGG
Koupela,
Kantchari,XKA
Tambao,TMQ
Zorgo,
Pama,XPA
Arly,ARL
Sebba,XSE
Tenkodogo,TEG
Ouargaye,
Zabre,XZA
Ouagadougou,OUA
Dano,
Banfora,BNR
Dedougou,DGU
Safane,
Gaoua,XGA
Hounde,
Loumana,
Nouna,XNU
Bobo Dioulasso,BOY
Orodara,
Sideradougou,
Tougan,TUQ
Diebougou,XDE
Aribinda,XAR
Accra,ACC
Tamale,TML
Navrongo,
Wa,
Yendi,
Kumasi,KMS
Sunyani,NYI
Sekondi-Takoradi,TKD
Abidjan,ABJ
Abengourou,OGO
Bocanda,
Boundiali,BXI
,BYK
Bouna,BQO
Bondoukou,BDK
Dabou,
Dimbokro,DIM
,DJO
Ferkessedougou,FEK
Gagnoa,GGN
Guiglo,GGO
Grand-Bereby,BBV
,HGO
,MJC
Odienne,KEO
Ouango Fitini,OFI
Seguela,SEO
,SPY
Sassandra,ZSS
Tabou,TXU
Yamoussoukro,ASK
,
,
,
Bajoga,
,
,
Abuja,ABV
Akure,AKR
Asaba,ABB
Benin,BNI
Bida,
Calabar,CBQ
Enegu,ENU
Gombe,GMO
Gusau,QUS
Ibadan,IBA
Ilorin,ILR
Owerri,QOW
Jos,JOS
Kaduna,KAD
Kano,KAN
Maiduguri,MIU
Makurdi,MDI
Lagos,LOS
Minna,MXJ
Oshogbo,
Port Harcourt,PHC
Sokoto,SKO
Enfidha,NBE
Yola,YOL
Zaria,ZAR
Tessaoua,
Birni-N'Konni,
Dogondoutchi,
Dosso,
Tera,
Gaya,
Bilma,
Tillabery,
Maradi,MFQ
Niamey,NIM
La Tapoa,
Tahoua,THZ
Ouallam,
Agadez,AJY
,
Diffa,
Goure,
Iferouane,
Arlit,
Maine-Soroa,
N'Guigmi,
Zinder,ZND
Tanout,
Medenine,
Tabarka,TBJ
Monastir,MIR
Tunis,TUN
Sidi Ahmed,OIZ
Remada,
Gafsa,GAF
Gabes,GAE
Borj El Amri,
Djerba,DJE
El Borma,EBM
Sfax,SFA
Tozeur,TOE
Atakpame,
Djangou,
Anie,
Mango,
Niamtougou,LRL
Sokode,
Lome,LFW
Mont-de-l'Enclus,
Arlon,
Hannut,
Antwerp,ANR
Beauvechain,
Bastogne,
Kleine Brogel,
Bullingen,
Bouillon,
Brussels,BRU
Brasschaat,
Bassenge,
Bertrix,
Genappe,
Pont-A-Celles,
Cerfontaine,
Brussels,CRL
Ciney,
Chimay,
Chievres,
Diest,
Koksijde,
Florennes,
Grimbergen,
Geraardsbergen,
Heron,
Hoevenen,
Isieres,
Balen,
Wevelgem,KJK
Butgenbach,
Leopoldsburg,
Liege,LGG
Lierneux,
Eghezee,
Brussels,
Doische,
Assesse,
Moorsele,
Neerpelt,
Namur,QNM
Ninove,
Vresse-Sur-Semois,
Ostend,OST
Saint Ghislain,
Saint Hubert,
Zutendaal,
Spa,
Sint Truiden,
Saint Hubert,
Tienen,
Verviers,
Tournai,
Ursel,
Weelde,
Hasselt,QHA
Zoersel,OBL
Zuinkerke,
Genk,
Bautzen,
Altenburg,AOC
Dessau,
Eisenhuttenstadt,
Marienberg,
Heringsdorf,HDF
Neustadt,
Gera,
Grosenhain,
Merseburg,
Neustadt-Glewe,
Nordhausen,
Cottbus,
Oppin,
Pirna,
Finsterwalde,
Hoyerswerda,
Riesa,
Eberswalde,
Roitzschjora,
Larz,REB
Strausberg,
Trebbin,
Wulfershausen,
Magdeburg,CSO
Prenzlau,
Brandenburg an der Havel,
Fehrbellin,
Burg,
,BBH
Zwickau,
Jena,
Kyritz,
Laucha an der Unstrut,
Magdeburg,ZMG
Zellendorf,
Pinnow,
Bronkow,
Rothenburg/Oberlausitz,
Kolleda,
Allstedt,
Pritzwalk,
Stralsund,
Werneuchen,
Gorlitz,
Schmoldow,
Schwarzheide,
Anklam,
Ballenstedt,
Cottbus,CBU
Eggersdorf,
,
Rugen,GTI
Rehmsdorf,
Bautzen,
Chemnitz,
Kothen,
Scharlibbe,
Kamenz,
,
Obermehler,
Peenemunde,PEF
Aschersleben,
Rerik,
Saarmund,
Taucha,
Gustrow,
Pasewalk,
Wismar,
Rostock,
Welzow,
Berlin,BER
Dresden,DRS
Erfurt,ERF
Frankfurt-am-Main,FRA
Munster,FMO
Hamburg,HAM
Berlin,THF
Cologne,CGN
Dusseldorf,DUS
Munich,MUC
Nuremberg,NUE
Leipzig,LEJ
Saarbrucken,SCN
Stuttgart,STR
Berlin,TXL
Hannover,HAJ
Bremen,BRE
Bad Langensalza,
Babenhausen,
Gotha,
Hockenheim,
Langenlonsheim,
Homburg,
Heppenheim,
Muhlhausen,
Gersfeld,
Walldurn,
Anspach,
Reichelsheim,
Aschaffenburg,
Bad Neustadt a.d.Saale,
Egelsbach,QEF
Gelnhausen,
Hahn,HHN
Hirzenhain,
Hammelburg,
Bad Kissingen,
Giesen,
Mannheim,MHG
Marburg,
Michelstadt,
Ober-Morlen,
Allendorf,
Rothenburg ob der Tauber,
Schweinfurt,
Lauterbach,
Miltenberg,
Worms,
Wurzburg,
Hockenheim,
Limburg an der Lahn,
Mainz,QMZ
Ailertchen,
Breitscheid,
Eisenach,
Fulda,
Hettstadt,
Ingelfingen,
Ochsenfurt,
Korbach,
Dannstadt,
Mosbach,
Oppenheim,
Schameder,
Giesen,
,SGE
Bottenhorn,
Unterschupf,
Wolfhagen,
Walldorf,
Weinheim,
Grube,
Luchow,
Uetersen,
Itzehoe,
Luneburg,
Hamburg,XFW
Kiel,KEL
Lubeck,LBC
Hasenmoor,
Neumunster,EUM
Tornesch,
Pellworm,
Stade,
Lauenbruck,
Wahlstedt,
Memmingen,FMM
Aachen,AAH
Bonn,BNJ
Altena,
Bergneustadt,
Freudenberg,
Betzdorf,
Leverkusen,
Meschede,
Wipperfurth,
Brilon,
Plettenberg,
Schmallenberg,
Attendorn,
Dahlheim,
Werdohl,
Meinerzhagen,
Neheim-Husten,
Dulmen,
Rheinberg,
Bottrop-Kirchhellen,
,ESS
Grefrath,
Goch,
Hamm,
Bielefeld,BFE
Detmold,
Krefeld,
Marl,ZOJ
Monchengladbach,MGL
Oerlinghausen,
Paderborn,PAD
Paderborn,
Stadtlohn,
Munster,
,
Weeze,NRN
Dortmund,DTM
Wesel,
Borken,
Bad Sassendorf,
Augsburg,AGB
Biberach an der Ris,
Blaubeuren,
Dachau,
Eggenfelden,
Furstenzell,
Gunzburg,
Gunzenhausen,
Illertissen,
Jesenwang,
Kempten,
Landshut,
Mindelheim,
,OBF
Vilsbiburg,
Donauworth,
Straubing,RBM
Tannheim,
Gundelfingen a.d.Donau,
Vilshofen,
Deggendorf,
Muhldorf am Inn,
Ampfing,
Arnbruck,
Beilngries,
Dinkelsbuhl,
Erbach,
,
Giengen an der Brenz,
Bad Worishofen,
Berching,
Neuburg an der Donau,
Kirchdorf am Inn,
Leutkirch,
Nittenau,
Nordlingen,
Pfarrkirchen,
Bopfingen,
Regensburg,
Schwabmunchen,
Treuchtlingen,
Thannhausen,
Vogtareuth,
Weisenhorn,
Oberschleisheim,
Friedrichshafen,FDH
Zell im Fichtelgebirge,
Auerbach/Vogtl.,
Bad Berka,
Gardelegen,
Reinsdorf,
Bohlen,
Bad Frankenhausen,
Torgau,
Freiberg,
Nauen,
Lusse,
Rudolstadt,
Oschersleben,FRF
Calbe,
Neuhardenberg,
,SZW
Oschatz,
Rhinow,
Pennewitz,
Greiz,
Weimar,
Stendal,
Waren,
Sandersdorf,
Schonebeck,
Aalen,
Bad Ditzenbach,
,
Dingolfing,
Eichstatt,
Schwandorf,
Pfatter,
Schwabach,
Laichingen,
Seebruck,
Donzdorf,
Neumarkt in der Oberpfalz,
Schmidgaden,
Waldkirchen,
Gerstetten,
Bartholoma,
Thalmassing,
Ellwangen,
Bad Windsheim,
Coburg,
Bayreuth,BYU
Ebermannstadt,
Ansbach,QOB
Giebelstadt,
Herzogenaurach,
Lauf an der Pegnitz,
Kulmbach,
Lichtenfels,
Hof,HOQ
Neustadt an der Aisch,
Helmbrechts,
Speichersdorf,
Ebern,
Goldlauter-Heidersbach,
Hasfurt,
Weiden in der Oberpfalz,
Neunkirchen am Brand,
Coburg,
Pegnitz,
Bad Neuenahr,
Bitburg,BBJ
Neumagen,
Bad Durkheim,
Idar-Oberstein,
Hoppstadten,
Linkenheim,
Saarlouis,
Koblenz,
Neustadt an der Weinstrase,
Traben-Trarbach,
Simmern,
Schweighofen,
Pirmasens,
Bad Sobernheim,
Trier,
Aremberg,
Dierdorf,
Speyer,
Zweibrucken,ZQW
Albstadt,
Baden-Baden,FKB
Leipheim,
Grabenstetten,
Backnang,
Binningen,
Kehl,
Blumberg,
Neuhausen ob Eck,
Altdorf,
Rottweil,
Baden-Baden,
Bruchsal,
Donaueschingen,ZQL
Freiburg im Breisgau,
Bremgarten,
Heubach,
,
,LHA
Mengen,
Nabern,
Offenburg,
Pfullendorf,
Pattonville,
Rheinfelden,
Villingen-Schwenningen,
Bad Saulgau,
Schramberg,
Schwabisch Hall,
Schwabisch Hall,
Konstanz,
Stechow-Ferchesar,
Brandenburg an der Havel,
,
Uebigau-Wahrenbruck,
Lutherstadt Eisleben,
Finsterwalde,
Demmin,
Welzow,
Zerbst/Anhalt,
Bad Gandersheim,
Celle,
,BWE
Blomberg,
Mengeringhausen,
Hodenhagen,
Hoxter,
Salzgitter,
Kassel,KSF
Trendelburg,
Hildesheim,
Northeim,
Rinteln,
Salzgitter,
Uelzen,
Bad Pyrmont,
Bad Oeynhausen,
Bredstedt,
Bremerhaven,BRV
Damme,
Lemwerder,XLW
Emden,EME
Leer,
Wangerooge,AGE
Oldenburg,
Wilhelmshaven,WVN
Juist,JUI
Karlshofen,
Langeoog,LGO
Rotenburg (Wumme),
Klausheide,ZOW
Osnabruck,
Wiefelstede,
Ganderkesee,
Borkum,BMK
Norddeich,NOD
Cloppenburg,VAC
Verden (Aller),
Westerstede,
Norderney,NRD
Baltrum,BMR
Bramsche,
Busum,HEI
Schleswig,
Bohmte,
Rheine,
Flensburg,FLF
Melle,
Helgoland,HGL
Nienburg/Weser,
Husum,
Leck,
Barsel,
Sankt Michaelisdonn,
Cuxhaven,
Sankt Peter-Ording,PSH
Harlesiel,
Rotenburg (Wumme),
Rendsburg,
Seedorf,
Sierksdorf,
Huttenbusch,
Westerland,GWT
Wyk auf Fohr,OHR
Kuhrstedt,
Keila,
Johvi,
Kardla,KDL
Kuressaare,URE
Saarekula,
Narva,
Nurmsi,
Parnu,EPU
Rapla,
Suurkula,
Ringsu,
Tapa,
Tallinn,TLL
Tartu,TAY
Viljandi,
,
Oulu,
Alavus,
Enontekio,ENF
,
Forssa,QVE
Genbole,
Halli / Kuorevesi,KEV
Helsinki,HEM
,
Haapajarvi,
Helsinki,HEL
,
,
,
Haapavesi,
,HYV
Iisalmi,
,
,
,KTQ
Ivalo,IVL
Jamijarvi,
Joensuu / Liperi,JOE
,
Jyvaskylan Maalaiskunta,JYV
Kauhava,KAU
Kemi / Tornio,KEM
,
,
Kajaani,KAJ
,KHJ
Kokkola / Kruunupyy,KOK
,
,
,
Karsamaki,
Kuusamo,KAO
Kittila,KTT
Kuopio / Siilinjarvi,KUO
,
Peippola,
,QLF
Lammake,
,
Lappeenranta,LPP
,MHQ
,
Mikkeli,MIK
Mantsala,
,
,
,
Oripaa,
Oulu / Oulunsalo,OUL
,
,
,
Pieksamaki,
,
Pori,POR
,
Pyhajarvi,
,
,
,
Rovaniemi,RVN
,
,
,
Savonlinna,SVL
,
Seinajoki / Ilmajoki,SJY
,
Sodankyla,SOT
,
,
Tampere / Pirkkala,TMP
Tampere,
Turku,TKU
Utti / Valkeala,UTI
Vaasa,VAA
,
,
,
Varkaus / Joroinen,VRK
,
Vuotso,
,
,YLI
Safron Waldon,
Badminton,
Breighton,
Canterbury,
Cromer,
Eshott,
Kirbymoorside,
Ledbury,
,
York,
Fearn,
Bruntingthorpe,
Belfast,BFS
Enniskillen,ENK
Belfast,BHD
Newtownards,
Derry,LDY
,
Belfast,
,
Birmingham,BHX
Derby,
Coventry,CVT
Bedford,
Leicester,
Staverton,GLO
Northampton,ORM
Long Marston,
Burton upon Trent,
Nottingham,NQT
Wolverhampton,
Kemble,
Breighton,
Shobdon,
Turweston,
Stratford-on-Avon,
Manchester / Salford,
Manchester,MAN
Manchester,
Belton,
Selby,
Caernarfon,
Spalding,
Doncaster,DSA
Southport,
Thorne,
Winsford,
Lincoln,
Whitchurch,
Shrewsbury,
Welshpool,
Chivenor,
Bicester,
Upavon,UPV
Lyneham,LYE
Amesbury,
Netheravon,
Predannack Wollas,
Helston,
Wroughton,
Hullavington,
Ilminster,
St. Athan,DGX
Yeovil,YEO
Campbeltown,CAL
Eday,EOI
Fair Isle,FIE
Whalsay,WHS
Coll Island,COL
North Ronaldsay,NRL
North Connel,OBN
Papa Westray,PPW
Stronsay,SOY
Sanday,NDY
Lerwick,LWK
Westray,WRY
Colonsay,CSA
Aberporth,
Haverfordwest,HAW
Cardiff,CWL
Swansea,SWS
Pembrey,
Bristol,BRS
Liverpool,LPL
London,LTN
Shaftesbury,
Maypole,
Land's End,LEQ
Plymouth,PLH
St. Mary's,ISC
Lee-on-Solent,
Yeovil,
Bournemouth,BOH
Southampton,SOU
Bembridge,BBP
Lasham,QLA
Sandown,
Andover,
Basingstoke,
Newquay,NQY
Chichester,QUG
Henstridge,
Burrington,
Truro,
Saint Anne,ACI
Saint Peter Port,GCI
Saint Helier,JER
Brighton,ESH
London,BQH
Challock,
Maidstone,
London,LGW
Lewes,
Redhill,KRH
Bodmin,
London,LCY
Gerrards Cross,
Farnborough,FAB
Hertford,
Chalgrove,
Yateley,BBS
London,LHR
Maidenhead,
,
Salisbury,
Cambridge,
Southend,SEN
Lydd,LYX
Bredhurst,
Manston,MSE
St. Neot's,
Upminster,
Nottingham,
Brough,
Carlisle,CAX
Huddersfield,
Gamston,
Worksop,
Bagby,
Blackpool,BLK
Skegness,
Grimsby,HUY
Barrow-in-Furness,BWF
Leeds,LBA
Warton,
Hawarden,CEG
Castletown,IOM
Newcastle,NCL
Durham,MME
Lincoln,
Nottingham,EMA
Beverley,
Llanbedr,
Ternhill,
Spadeadam,
Holyhead Island,
Shawbury,
Angelsey,HLY
Southport,
Wigtownshire,
Orkney Islands,KOI
Lerwick,LSI
Wick,WIC
Aberdeen,ABZ
Inverness,INV
Glasgow,GLA
Cumbernauld,
Edinburgh,EDI
Port Ellen,ILY
,
Glasgow,PIK
Balivanich,BEB
Shetland Islands,SCS
Dundee,DND
Stornoway,SYY
Eoligarry,BRR
Perth,PSL
Balemartine,TRE
Shetland Islands,UNT
Thurso,
Ballykelly,BOL
Kinloss,FSS
St. Andrews,ADX
Lossiemouth,LMO
East Dereham,
Cambridge,CBG
Conington,
Stapleford Tawney,
Norwich,NWI
Wisbech,
Seething,
Braintree,
Beccles,
Cambridge,
Stowmarket,
Peterborough,
Clacton-on-Sea,
Earles Colne,
London,STN
Hadleigh,
Duxford,QFO
Old Buckenham,
Newmarket,
North Weald Bassett,
Aylesbury,
High Wycombe,HYC
Cranfield,
Dunsfold,
Exeter,EXT
Woking,
Bristol,FZO
Old Warden,
Kidlington,OXF
Oxfordshire,
Rochester,RCS
Perranporth,
Watford,
Dunkeswell,
Malmesbury,
Benson,BEX
Abingdon,
Waterbeach,
Lakenheath,LKZ
Mildenhall,MHZ
Colerne,
Fakeham,
Stowmarket,
St. Ives,QUY
Fairford,FFD
Brize Norton,BZZ
Odiham,ODH
Middle Wallop,
Wethersfield,WXF
Cosford,
Henlow,
Halton,
London,NHT
Coningsby,QCY
Dishforth,
Leeming,
Church Fenton,
Thetford,BEQ
Cottesmore,OKH
Scampton,SQZ
Wittering,
Linton-On-Ouse,HRT
Leconfield,
Waddington,WTN
Newark,
Topcliffe,
Cranwell,
Grantham,
York,
Marham,MRH
Mount Pleasant,MPN
Ameland,
Amsterdam,AMS
Weert,
Maastricht,MST
Arnhem,QAR
Venray,
Drachten,
Lemelerveld,
Eindhoven,EIN
Groningen,GRQ
Breda,GLZ
Hoogeveen,
Hilversum,
Den Helder,DHR
Lelystad,LEY
Leeuwarden,LWR
Middelburg,
,
Rotterdam,RTM
Hoeven,
Stadskanaal,
Deventer,
Terlet,
Enschede,ENS
Texel,
Uden,UDE
Bergen Op Zoom,WOE
Abbeyshrule,
Fingal,
Brittas Bay,
Bantry,BYT
Birr,
Belmullet,BLY
Inverin,NNR
Castlebar,CLB
Wexford,WEX
Cork,ORK
Clonbullogue,
Galway,GWY
Limerick,
Castleforbes,
Donegal,CFN
Dublin,DUB
Nenagh,
Swordlestown,
Hacketstown,
Inis Mor,IOR
Inis Oirr,INQ
Kilrush,
Killenaule,
Kilkenny,KKY
Charleston,NOC
Killarney,KIR
Letterkenny,LTR
Baldonnel,
Moneygall,
Athboy,
Inis Meain,IIA
Thurles,
Newcastle,
Shannon,SNN
Powerscourt,
Rathcoole,
Sligo,SXL
Spanish Point,
Trim,
Dunshaughlin,
Waterford,WAT
Leixlip,
AEro,
Aarhus,AAR
Anholt,
Avno,
Billund,BLL
Copenhagen,CPH
Esbjerg,EBJ
Endelave,
Femø,
Fur,
Gronholt,
Grenaa,
Herning,
Holbaek,
Holstebro,
Hadsund,
Haderslev,
Karup,KRP
Kalundborg,
Korsor,
Laeso,BYR
Lemvig,
Lolland Falster / Maribo,MRW
Koster,
Morso,
Naksnov,
Odense,ODE
Krusa / Padborg,
Rarup,
Randers,
Copenhagen,RKE
Ronne,RNN
Ringsted,
Saeby,
Sonderborg,SGD
Spjald,
Sindal,CNL
Vojens,SKS
Samso,
Tasinge,
Skive,SQW
Tonder,
Thisted,TED
Vandel,
Viborg,
Kolding / Vamdrup,
Vagar,FAE
Aars,
Skjern / Ringkobing,STA
Aalborg,AAL
Luxembourg,LUX
Winseler,
Useldange,
Amot,
Alesund,AES
Andenes,ANX
Ny-Alesund,
Alta,ALF
Forde,FDE
Tjukkebygdi,
Bronnoy,BNN
Bodo,BOO
Bergen,BGO
Batsfjord,BJF
Berlevag,BVG
Kjevik,KRS
Dagali,DLD
Dokka,
Malselv,BDU
Honefoss,
Evenes,EVE
Froya,
,VDB
Floro,FRO
Fyresdal,
,
Oslo,OSL
Folldal,
Snasa,
Hamar,HMR
Karmoy,HAU
Hammerfest,HFT
Hasvik,HAA
,
,
Hattfjelldal,
Honningsvag,HVG
,
Tonsberg,
,QKX
Kvernberget,KSU
Kjeller,
Klanten,GLL
Kirkenes,KKN
Farsund,FAN
Leknes,LKN
Lunde Nome,
Mehamn,MEH
Aro,MOL
,MJF
Lakselv,LKL
Narvik,NVK
Namsos,OSY
,NTB
Orland,OLA
,
Orsta,HOV
Mo i Rana,MQN
Saltdal,
Frya,
,
Rorvik,RVK
Roros,RRS
,RET
